total_cup_points,species,country_of_origin,altitude_mean_meters,processing_method,aroma,flavor,aftertaste,acidity,body,balance,region
84,Arabica,Guatemala,1219.2,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,oriente
84,Arabica,Guatemala,1219.2,Other,7.75,7.83,7.5,7.83,7.58,7.67,oriente
84,Arabica,Colombia,1480.0,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,huila
84,Arabica,Colombia,1450.0,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,santander
84,Arabica,Colombia,1775.0,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,huila
84,Arabica,Ethiopia,1550.0,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,sidamo
84,Arabica,Brazil,1260.0,Natural / Dry,7.58,7.83,7.67,7.25,8.0,7.75,south of minas
84,Arabica,Colombia,1700.0,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,cauca
84,Arabica,Kenya,1200.0,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,blend
84,Arabica,Thailand,1310.64,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,thailand
